text,label
"Lakier roweru bardzo kiepskiej jakości , robią się odpryski nie wiadomo od czego rower ładny wygodny ale po 3 miesiącach użytkowania widoczne odpryski lakieru czego za taką cenę nie powinno być ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! Oczywiście producent twierdzi że są to wady mechaniczne , dziecko ma w lepszym stanie lakier na rowerze ale nie z tej firmy ODRADZAM ZAKUP Z TEGO POWODU SZKODA TYLE KASY I NERWÓW chyba ze rower będzie stał nieużywany za szybą . Na zakończenie powiem tak porównując lakier zwykły do paznokci a hybrydę wiadomo w tańszym zwykłym lakierze robią się odpryski a lepszym nie ! ! ! ! ! ! ! ! ! ! ! ! !",Negative
"Nie jestem zadowolony z zakupu . Przede wszystkim są skrajnie niewygodne . Uciskają uszy , po 10 minutach mam zwyczajnie dość i zdjęcie słuchawek to niesamowite ukojenie . Kolejna kwestia to problemy z łącznością na początku . U mnie po sparowaniu słuchawek z telefonem pierwszy utwór się zacina . Może taki już urok bezprzewodowych słuchawek , nie wiem , nie wnikam , dla mnie to wada . Wada nr 3 to samo posługiwanie się tymi słuchawkami . Te komunikaty o głośności jeszcze można jakoś przeżyć , ale ten sygnał chociażby przy wyłączaniu urządzenia jest niezwykle irytujący . Jakość dźwięku jest zadowalająca , ale te wady . . uważam , że słuchawki za 200zł powinny być ich pozbawione . Gdyby m mógł cofnąć czas , kupił by m inny sprzęt .",Negative
"Szukając klucze tej wielkości brał em dwa pod uwagę , tzn Yato i Neo ze wzgląd na duży rozstaw szczęk . Kupił em jednak Yato bo był akurat dostępny w pobliskim sklepie i w niskiej cenie , a pyzatym mam część narzędzi tej firmy i się sprawdzają . Jednak po rozpakowaniu trochę się rozczarował em a to za sprawą regulowanej szczęki która lata na boki i nie jest sztywna tak jak w większym kluczu który posiadam . Poza tym szerokość szczęki ruchomej jest większa od szerokości nieruchomej prawdopodobnie dlatego że jest ona luźna i w procesie obróbki odchylała się na boki . Kolejnym minusem jest sposób zablokowania sworznia a mianowicie nacięcie go jakąś tarczą szlifierską . Co do plusów to ergonomiczna gumowa rączka , otwory których można użyć jako kluczy oczkowych jak i do zawieszenia . Tak wiec klucz spełnia swoją role jednak nie jest to ideał dla ludzi ceniących zarówno funkcjonalność jak i jakość wykonania .",Neutral
"Długo szukała m odpowiedniego fotelika dla bardzo wysokiej 2 latki : ) wcześniej użytkowała m fotelik 9 - 18kg , ten miał być większy producent podaje 9 - 36kg - niestety jest to trochę na wyrost , chociaż teoretycznie dziecko mieściło się w środkowym przedziale wagowym ( 16kg ) to fotelik okazał się zbyt mały . Przy maksymalnie wysuniętym zagłówku głowa dziecka dotykała górnej krawędzi fotelika , tak więc nie wyobrażam sobie , że fotelik miał by służyć przez następnych kilka lat . Poza tym fotelik wyglądał solidnie i myślę , że świetnie nadawał by się jako fotelik następny po nosidełku .",Neutral
"Kupił em pociąg ( w zestawie kilka torów prostych oraz zakrętów ) oraz zestaw torów , zwrotnic + skrzyżowanie . Ten zestaw jest kompletnie do niczego . Tory są niedopasowane do rozstawu kół lokomotywy . Kładąc lokomotywę idealnie na środku tora , koła są na krawędzi . Całe koła podczas jazdy pracują prawo / lewo przez co pociąg niemal cały czas jedną stroną kół jedzie w powietrzu ( poza torem ) . No a najgorzej ze skrzyżowaniem i zwrotnicami . Skrzyżowanie jest za wąskie , pociąg nie jest w stanie go przejechać ( raz na 10 się zdarzy , że z rozpędu przejedzie ) . Zwrotnice też ledwo pokonuje . Na prawdę zestaw nie nadaje się do zabawy , skoro pociąg nie jest kompatybilny z torami . . . Na YT można obejrzeć z czym mam problem . Wystarczy wpisać w wyszukiwanie blocki pociąg rozstaw . To moja trzecia próba z Jixin / Blocki / Mubi . Pierwszy zestaw ( 2 lata temu ) straży pożarnej był ok , do dziś służy . Potem zestaw budowniczego - rozleciał się od razu budowniczy . . . No a teraz ten pociąg . Nie polecam zdecydowanie tych podróbek L . D . - choć cena oczywiście zachęca .",Negative
"jestem pilarzem od parunastu lat , skusił em się na tego partnera w listopadzie 2016r . Łatwo się uruchamia i dobrze pracuje , lekka , poręczna , wygodna ale za mały otwór wlewu oleju i za małe objętości zbiornika paliwa i oleju - trzeba często uzupełniać je , filtr powietrza w zasadzie jednorazowy zapycha się po około tygodniu pracy ( około 3h dziennej pracy piły ) - koszt nowego 10zł , zaś po 3 miesiącach pękła linka gazu ( każde naciśnięcie manetki gazu łamie linkę - takie dziwne rozwiązanie konstrukcyjne ) - koszt nowej 40zł , jak dla mnie trochę za wysokie koszty utrzymania tej piły - jestem zawiedziony tym modelem partnera .",Negative
"Uważam , że to najlepszy kitowy obiektyw na rynku . Wykonanie metal i bardzo dobrej jakości tworzywi . Pierścień przysłony chodzi z należytym oporem i skokiem . Wbudowana stabilizacja jest wydajna i naprawdę pomaga w wielu sytuacjach . Obiektyw bardzo ostry już od największego otworu przysłony . Celność bdb . To za co pochwalę go dodatkowo to szybki silnik autofokusa - używał em go na poczatku z dosyć mułowatym X - E1 , teraz , kiedy przesiadł em się na X - T1 to mogę tylko chwalić ! ! ! Ostatni plus to bardzo dobrze opracowany system uszczelnień - obiektyw , mimo , iż jest to zoom , w ogóle nie zasysa kurzu do środka ( miałem już wiele zoomów : Nikkory , Sigmy i tam był to problem ) . Polecam !",Positive
"krzesełko o ładnej kolorystyce , bardzo przydatna regulacja siedziska i oparcia , można je szybko wyczyścić bo jest pokryte specjalnym materiałem w który nie wnika woda ale oprócz tego same minusy , moje dziecko poci się w tym krzesełku straszliwie - właśnie ze względu na ten materiał , do tego krzesełko jest bardzo ciężkie a nie ma kółeczek z przodu co jeszcze bardziej uniemożliwia jego przesuwanie , zajmuje też sporo miejsca . Kosztuje sporo ale z tego co wiem na rynku są jeszcze droższe , osobiście już drugi raz by m go nie kupiła .",Neutral
"Kiedy na początku zobaczył em słuchawki zachwycał em się nimi . Dobry mikrofon , ładne opakowanie , przyjemny wygląd słuchawek . Ogólnie mówiąc NAJPIERW był em bardzo zadowolony . Gdzieś po 3 miesiącach problemy z mikrofonem się zaczęły raz działał raz nie , po 6 nie odpinał em go ponieważ wtedy już nie działał na długo i nie chciał em kusić losu licząc na kolejny cud , że jak podłącze to znowu zadziała . Po 3 / 4 roku siadła jedna strona zupełnie . . . . To już mnie kompletnie dobiło i zmienił em na akg 514 i co . . . ? Ogromna różnica w jakości a należało trochę dopłacić . I na nowych słuchawkach słychać znacznie lepiej w fps na jakim przeciwnik jest poziomie jak jest z tyłu na fatality nie mogł em rozróżnić . Dopóki się odwrócił em i sprawdził em zazwyczaj dead . Nie polecam na dłuższą metę na 3 miesiące mogą być w porządku ale na to zakup na krótko . Beznadziejne wykonanie , kabla mikrofona i ogólnie całych słuchawek .",Negative
"Dostał em to badziewie w prezencie od Orange . Do wyboru miałem pendrive , czytnik i jeszcze jakiś bubel , którego nazwy nie pamiętam , wybór padł jednak na słuchawki bo dawno żadnych nie miałem na uszach . Z zewnątrz nawet nieźle wyglądają i to chyba ich największa zaleta . Nie najlepiej wykonane , niewygodne , kabel za krótki , dźwięk może być . W środku widać już najzwyklejszy chiński chłam . Wszystko co mogło zostać wykonane z marnego plastiku , zostało z niego wykonane i połączone tanim klejem oby się jakoś trzymało . Cena oczywiście jest tu ważnym usprawiedliwieniem ale . . Żeby nie było zbyt pięknie , od początku lewy głośnik nie działał . Problem , który czasem występuje może być spowodowany tym , że cienki jak włos drut zwyczajnie się ukruszy . Jeśli pęknięcie jest tuż za punktem lutowania ( na zewnątrz ) można przylutować go ponownie , ale jak jest wewnątrz ( tak było w moim egzemplarzu ) to szkoda czasu . Produkt mogł em wysłać do producenta w ramach gwarancji , ale ze względu na jego niską wartość wysłał em go do kosza .",Negative
